rho1,rho3,theta1_final,theta2_final,theta3_final,theta12_ratio_analytical,theta12_ratio_simulation,theta12_ratio_error,theta32_ratio_analytical,theta32_ratio_simulation,theta32_ratio_error,workspace_area,path_length,rmse,max_error,tension_final
0.25,0.25,68.94370271045383,22.49783048289151,81.14158084141341,5.2931484303669265,3.064460049287069,2.2286883810798575,3.1502501678883594,3.6066402448501687,0.4563900769618092,0.004895879783891763,0.189070445476002,23.124012097062614,57.6251009040206,34.63824060621665
0.25,0.5,74.72178698212687,31.343049648216343,54.687797994339725,5.293148430366927,2.383998615985956,2.9091498143809713,1.5751250839441802,1.7448141967082604,0.16968911276408027,0.005886332913659429,0.2066074130046007,27.249860793231687,67.11664319856662,45.872261659291105
0.25,0.75,76.93140942941898,36.77166901817638,39.358581474087494,5.2931484303669265,2.0921380911862193,3.201010339180707,1.0500833892961199,1.0703506945695718,0.020267305273451885,0.006281752298947894,0.21332088145188538,28.705435210134265,70.98882973562107,52.38215731683635
0.25,1.0,77.97194083835736,39.955612403453834,30.15913245893572,5.2931484303669265,1.9514640409220039,3.3416843894449224,0.78756254197209,0.7548159230899114,0.03274661888217856,0.0064536239159385155,0.21620372615419126,29.52091265594055,73.19291043861585,56.095842166660056
0.25,1.5,78.91153144870216,43.27774515090854,20.172250326716785,5.2931484303669265,1.8233743734461998,3.469774056920727,0.5250416946480598,0.46611139874262386,0.05893029590543597,0.0065842990942551315,0.2184059131323473,30.448821789611827,75.63927649862649,59.910250802021686
0.25,2.0,79.32958545619029,44.916131961355674,15.03200110023248,5.293148430366927,1.7661713507397028,3.5269770796272244,0.393781270986045,0.3346682014641311,0.059113069521913864,0.006628741727016421,0.21917512330183397,30.966925076339,76.97082553925163,61.774978310091335
0.25,4.0,79.88176118248086,47.25303417291598,7.365358239516288,5.293148430366926,1.6905107276321036,3.602637702734822,0.19689063549302246,0.1558705883851558,0.041020047107866664,0.00666574905771047,0.2198728458496198,31.817870052881666,79.12481759437163,64.42086870678695
0.5,0.25,54.337473160575726,26.552556975184615,86.15223735187908,2.6465742151834637,2.046412072907262,0.6001621422762016,3.15025016788836,3.244592881672183,0.0943427137838233,0.0036194164002132413,0.16549886307849535,19.307474229710753,41.10276089454739,39.89112693361233
0.5,0.5,61.00625069115985,34.25206412645771,59.57147644795424,2.6465742151834637,1.7810970593166704,0.8654771558667933,1.57512508394418,1.7392083650205117,0.16408328107633174,0.004435273715107894,0.1831089923429841,21.802899684860183,53.2663869451961,49.382706162838865
0.5,0.75,64.34028839307118,39.69876517595838,42.51016846461043,2.6465742151834637,1.6207125865979262,1.0258616285855375,1.05008338929612,1.0708184064716109,0.020735017175490755,0.004834900403584414,0.19144527462664895,23.63655729213881,58.552201051168055,55.79049833442422
