rho1,rho3,k_mcp,k_pip,k_dip,Tmax_N,status,grip_close_N,final_slip_mm
0.4363636363636363,0.4363636363636363,0.072,0.165,0.072,106.32857142857142,slip,138.162954357583,8.001619861566516
0.4363636363636363,0.5693452734909306,0.072,0.165,0.09394197012600354,103.47857142857143,slip,122.41740056179518,8.034542931492622
0.4363636363636363,0.7428530093564767,0.072,0.165,0.12257074654381866,106.39285714285714,slip,138.13379046882798,8.011296877471517
0.4363636363636363,0.9692371557358053,0.072,0.165,0.15992413069640787,106.5,slip,154.95267146094028,8.000451662103863
0.4363636363636363,1.26461177679369,0.072,0.165,0.20866094317095885,106.13571428571427,slip,73.4203370344472,8.022760222501347
0.4363636363636363,1.6500016910631263,0.072,0.165,0.2722502790254159,153.77142857142857,slip,105.46946990084206,8.07304314268235
0.4363636363636363,2.1528390218014946,0.072,0.165,0.3552184385972466,147.12857142857143,slip,89.22137676207906,8.050015753983914
0.4363636363636363,2.808915820446815,0.072,0.165,0.4634711103737245,136.92857142857142,slip,86.60192902555309,8.063432279629543
0.4363636363636363,3.6649317512621313,0.072,0.165,0.6047137389582516,126.96428571428571,slip,79.73168767055795,8.011690494991143
0.4363636363636363,4.781818181818182,0.072,0.165,0.7890000000000001,124.32857142857142,slip,81.01180037257608,8.045840780468723
0.5693452734909306,0.4363636363636363,0.09394197012600354,0.165,0.072,104.65714285714286,slip,58.24780323866882,8.008454806270791
0.5693452734909306,0.5693452734909306,0.09394197012600354,0.165,0.09394197012600354,105.42857142857143,slip,153.49966875403146,8.004738788117033
0.5693452734909306,0.7428530093564767,0.09394197012600354,0.165,0.12257074654381866,103.52142857142857,slip,135.28963276812675,8.00769625805635
0.5693452734909306,0.9692371557358053,0.09394197012600354,0.165,0.15992413069640787,101.61428571428571,slip,175.58642004298252,8.010976747676718
0.5693452734909306,1.26461177679369,0.09394197012600354,0.165,0.20866094317095885,104.59285714285714,slip,119.90421527543049,8.010652237006408
0.5693452734909306,1.6500016910631263,0.09394197012600354,0.165,0.2722502790254159,105.32142857142858,slip,112.63255628436474,8.015871318873696
0.5693452734909306,2.1528390218014946,0.09394197012600354,0.165,0.3552184385972466,146.9142857142857,slip,89.05379672309198,8.058232109512193
0.5693452734909306,2.808915820446815,0.09394197012600354,0.165,0.4634711103737245,137.01428571428573,slip,86.44231228278004,8.017659068207164
0.5693452734909306,3.6649317512621313,0.09394197012600354,0.165,0.6047137389582516,126.70714285714286,slip,79.78357355994848,8.04844735796213
0.5693452734909306,4.781818181818182,0.09394197012600354,0.165,0.7890000000000001,123.72857142857143,slip,80.83264937142681,8.007178476069452
0.7428530093564767,0.4363636363636363,0.12257074654381866,0.165,0.072,105.06428571428572,slip,135.05804176910468,8.001541648147654
