timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-27T18:19:29.741,18,pull_start,GRIPPED,0.598982,-8.225643,0.0,nan,20.0,20.0,20.0,-53.8,188.3,3.2e-05,0.0,0.072,0.072,0.072
2026-06-27T18:19:29.999,18,,PULLING,1.40856,-7.416064,1.40856,nan,20.0,20.0,20.0,-51.11,190.99,0.528813,13.45,0.072,0.072,0.072
2026-06-27T18:19:30.399,18,,PULLING,2.135906,-6.688719,2.135906,nan,20.0,20.0,20.0,-48.42,190.99,1.309258,24.21,0.072,0.072,0.072
2026-06-27T18:19:30.655,18,,PULLING,2.338126,-6.486499,2.338126,nan,20.0,20.0,20.0,-51.11,190.99,1.828344,18.83,0.072,0.072,0.072
2026-06-27T18:19:30.911,18,,PULLING,2.147741,-6.676884,2.338126,nan,20.0,20.0,20.0,-61.87,188.3,2.336236,5.38,0.072,0.072,0.072
2026-06-27T18:19:31.343,18,,PULLING,3.745891,-5.078734,3.745891,nan,20.0,20.0,20.0,-45.73,190.99,3.197523,26.9,0.072,0.072,0.072
2026-06-27T18:19:31.599,18,,PULLING,3.991267,-4.833358,3.991267,nan,20.0,20.0,20.0,-48.42,190.99,3.71739,0.0,0.072,0.072,0.072
2026-06-27T18:19:31.855,18,,PULLING,4.461584,-4.363041,4.461584,nan,20.0,20.0,20.0,-51.11,190.99,4.223858,5.38,0.072,0.072,0.072
2026-06-27T18:19:32.239,18,,PULLING,6.406592,-2.418032,6.406592,nan,20.0,20.0,20.0,-48.42,190.99,5.00644,21.52,0.072,0.072,0.072
2026-06-27T18:19:32.495,18,,PULLING,8.299817,-0.524808,8.299817,nan,20.0,20.0,20.0,-48.42,190.99,5.50945,0.0,0.072,0.072,0.072
2026-06-27T18:19:32.751,18,,PULLING,10.139955,1.315331,10.139955,nan,20.0,20.0,20.0,-51.11,188.3,6.015732,0.0,0.072,0.072,0.072
2026-06-27T18:19:33.151,18,,PULLING,12.730878,3.906254,12.730878,nan,20.0,20.0,20.0,-45.73,188.3,6.818,8.07,0.072,0.072,0.072
2026-06-27T18:19:33.407,18,,PULLING,13.489899,4.665274,13.489899,nan,20.0,20.0,20.0,-56.49,188.3,7.332298,-10.76,0.072,0.072,0.072
2026-06-27T18:19:33.663,18,,PULLING,16.094061,7.269436,16.094061,nan,20.0,20.0,20.0,-48.42,190.99,7.839748,-13.45,0.072,0.072,0.072
2026-06-27T18:19:34.063,18,peak,PULLING,9.130578,0.305954,16.094061,16.094061,20.0,20.0,20.0,-51.11,190.99,8.63243,13.45,0.072,0.072,0.072
2026-06-27T18:19:34.063,18,,PULLING,9.130578,0.305954,16.094061,16.094061,20.0,20.0,20.0,-51.11,190.99,8.63243,13.45,0.072,0.072,0.072
2026-06-27T18:19:34.319,18,,PULLING,11.36265,2.538026,16.094061,16.094061,20.0,20.0,20.0,-40.35,145.26,9.160283,-2.69,0.072,0.072,0.072
2026-06-27T18:19:34.575,18,,PULLING,9.411612,0.586988,16.094061,16.094061,20.0,20.0,20.0,-51.11,145.26,9.664843,-10.76,0.072,0.072,0.072
2026-06-27T18:19:34.975,18,,PULLING,8.376979,-0.447645,16.094061,16.094061,20.0,20.0,20.0,-48.42,139.88,10.455763,2.69,0.072,0.072,0.072
