timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-23T17:43:37.627,14,,PULLING,3.840635,-13.557707,3.840635,nan,20.0,20.0,20.0,-158.71,180.23,9.945866,-2.69,1.0,1.0,1.0
2026-06-23T17:43:38.011,14,,PULLING,4.147746,-13.250596,4.147746,nan,20.0,20.0,20.0,-158.71,182.92,10.72477,-10.76,1.0,1.0,1.0
2026-06-23T17:43:38.267,14,,PULLING,4.621097,-12.777245,4.621097,nan,20.0,20.0,20.0,-158.71,185.61,11.230998,-34.97,1.0,1.0,1.0
2026-06-23T17:43:38.524,14,,PULLING,5.208386,-12.189956,5.208386,nan,20.0,20.0,20.0,-158.71,182.92,11.737438,-43.04,1.0,1.0,1.0
2026-06-23T17:43:38.907,14,,PULLING,6.602537,-10.795804,6.602537,nan,20.0,20.0,20.0,-158.71,185.61,12.50734,-16.14,1.0,1.0,1.0
2026-06-23T17:43:39.163,14,,PULLING,7.765059,-9.633283,7.765059,nan,20.0,20.0,20.0,-158.71,180.23,13.021946,-48.42,1.0,1.0,1.0
2026-06-23T17:43:39.419,14,,PULLING,8.44086,-8.957482,8.44086,nan,20.0,20.0,20.0,-158.71,185.61,13.529436,-43.04,1.0,1.0,1.0
2026-06-23T17:43:39.803,14,,PULLING,8.85879,-8.539551,8.85879,nan,20.0,20.0,20.0,-158.71,185.61,14.283775,-18.83,1.0,1.0,1.0
2026-06-23T17:43:40.059,14,,PULLING,9.042902,-8.355439,9.042902,nan,20.0,20.0,20.0,-158.71,185.61,14.813743,-26.9,1.0,1.0,1.0
2026-06-23T17:43:40.315,14,,PULLING,8.838381,-8.55996,9.042902,nan,20.0,20.0,20.0,-158.71,177.54,15.321288,-34.97,1.0,1.0,1.0
2026-06-23T17:43:40.683,14,,PULLING,8.173163,-9.225178,9.042902,nan,20.0,20.0,20.0,-158.71,182.92,16.064691,-32.28,1.0,1.0,1.0
2026-06-23T17:43:40.939,14,,PULLING,8.074053,-9.324288,9.042902,nan,20.0,20.0,20.0,-156.02,185.61,16.57384,-37.66,1.0,1.0,1.0
2026-06-23T17:43:41.195,14,,PULLING,8.534386,-8.863955,9.042902,nan,20.0,20.0,20.0,-158.71,182.92,17.081106,-37.66,1.0,1.0,1.0
2026-06-23T17:43:41.611,14,,PULLING,9.347295,-8.051047,9.347295,nan,20.0,20.0,20.0,-164.09,185.61,17.926611,-2.69,1.0,1.0,1.0
2026-06-23T17:43:41.867,14,,PULLING,9.510929,-7.887412,9.510929,nan,20.0,20.0,20.0,-188.3,185.61,18.427815,-21.52,1.0,1.0,1.0
2026-06-23T17:43:42.123,14,,PULLING,9.322244,-8.076098,9.510929,nan,20.0,20.0,20.0,-185.61,185.61,18.937089,-32.28,1.0,1.0,1.0
2026-06-23T17:43:42.507,14,,PULLING,8.712107,-8.686234,9.510929,nan,20.0,20.0,20.0,-188.3,185.61,19.691429,-10.76,1.0,1.0,1.0
2026-06-23T17:43:42.763,14,,PULLING,8.392614,-9.005727,9.510929,nan,20.0,20.0,20.0,-188.3,182.92,20.221608,-24.21,1.0,1.0,1.0
2026-06-23T17:43:43.019,14,,PULLING,8.045851,-9.352491,9.510929,nan,20.0,20.0,20.0,-185.61,185.61,20.728855,-40.35,1.0,1.0,1.0
2026-06-23T17:43:43.403,14,,PULLING,8.425436,-8.972906,9.510929,nan,20.0,20.0,20.0,-188.3,185.61,21.487611,-21.52,1.0,1.0,1.0
2026-06-23T17:43:43.659,14,,PULLING,8.771922,-8.62642,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,22.013598,-32.28,1.0,1.0,1.0
2026-06-23T17:43:43.915,14,,PULLING,8.989021,-8.409321,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,22.520716,-26.9,1.0,1.0,1.0
2026-06-23T17:43:44.299,14,,PULLING,8.727569,-8.670772,9.510929,nan,20.0,20.0,20.0,-188.3,185.61,23.285438,-18.83,1.0,1.0,1.0
2026-06-23T17:43:44.555,14,,PULLING,8.071446,-9.326895,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,23.804733,-32.28,1.0,1.0,1.0
2026-06-23T17:43:44.811,14,,PULLING,8.134453,-9.263889,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,24.312579,-40.35,1.0,1.0,1.0
2026-06-23T17:43:45.195,14,,PULLING,8.522017,-8.876324,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,25.066732,-2.69,1.0,1.0,1.0
2026-06-23T17:43:45.451,14,,PULLING,8.449519,-8.948822,9.510929,nan,20.0,20.0,20.0,-193.68,185.61,25.59727,-37.66,1.0,1.0,1.0
2026-06-23T17:43:45.707,14,,PULLING,7.990513,-9.407828,9.510929,nan,20.0,20.0,20.0,-193.68,185.61,26.104624,-34.97,1.0,1.0,1.0
2026-06-23T17:43:46.075,14,,PULLING,8.198412,-9.199929,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,26.852625,-13.45,1.0,1.0,1.0
2026-06-23T17:43:46.331,14,,PULLING,8.328915,-9.069426,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,27.35731,-34.97,1.0,1.0,1.0
2026-06-23T17:43:46.587,14,,PULLING,8.467062,-8.93128,9.510929,nan,20.0,20.0,20.0,-193.68,185.61,27.864267,-29.59,1.0,1.0,1.0
2026-06-23T17:43:46.971,14,,PULLING,8.64395,-8.754391,9.510929,nan,20.0,20.0,20.0,-193.68,185.61,28.62642,-16.14,1.0,1.0,1.0
2026-06-23T17:43:47.227,14,,PULLING,8.485122,-8.913219,9.510929,nan,20.0,20.0,20.0,-193.68,185.61,29.149551,-32.28,1.0,1.0,1.0
2026-06-23T17:43:47.483,14,,PULLING,8.35343,-9.044912,9.510929,nan,20.0,20.0,20.0,-190.99,185.61,29.656396,-37.66,1.0,1.0,1.0
2026-06-23T17:43:47.867,14,,PULLING,8.570715,-8.827627,9.510929,nan,20.0,20.0,20.0,-193.68,185.61,30.418435,-32.28,1.0,1.0,1.0
2026-06-23T17:43:48.123,14,,PULLING,9.252102,-8.146239,9.510929,nan,20.0,20.0,20.0,-196.37,185.61,30.940624,-32.28,1.0,1.0,1.0
2026-06-23T17:43:48.379,14,,PULLING,9.273732,-8.124609,9.510929,nan,20.0,20.0,20.0,-193.68,185.61,31.44897,-34.97,1.0,1.0,1.0
