timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-23T17:27:43.938,9,,PULLING,-0.35628,-16.645101,0.0,nan,20.0,20.0,20.0,-34.97,48.42,6.811904,10.76,1.0,1.0,1.0
2026-06-23T17:27:44.354,9,,PULLING,-0.242249,-16.531069,0.0,nan,20.0,20.0,20.0,-34.97,45.73,7.646789,13.45,1.0,1.0,1.0
2026-06-23T17:27:44.626,9,,PULLING,-0.052754,-16.341574,0.0,nan,20.0,20.0,20.0,-34.97,48.42,8.164422,-2.69,1.0,1.0,1.0
2026-06-23T17:27:44.882,9,,PULLING,0.382257,-15.906563,0.382257,nan,20.0,20.0,20.0,-34.97,45.73,8.69562,-10.76,1.0,1.0,1.0
2026-06-23T17:27:45.266,9,,PULLING,1.917228,-14.371592,1.917228,nan,20.0,20.0,20.0,-34.97,40.35,9.456649,0.0,1.0,1.0,1.0
2026-06-23T17:27:45.522,9,,PULLING,3.163802,-13.125018,3.163802,nan,20.0,20.0,20.0,-34.97,40.35,9.97218,-13.45,1.0,1.0,1.0
2026-06-23T17:27:45.778,9,,PULLING,3.642703,-12.646117,3.642703,nan,20.0,20.0,20.0,-34.97,40.35,10.479989,-21.52,1.0,1.0,1.0
2026-06-23T17:27:46.162,9,,PULLING,4.69051,-11.59831,4.69051,nan,20.0,20.0,20.0,-56.49,43.04,11.244707,-5.38,1.0,1.0,1.0
2026-06-23T17:27:46.418,9,,PULLING,5.064845,-11.223976,5.064845,nan,20.0,20.0,20.0,-45.73,48.42,11.765565,-5.38,1.0,1.0,1.0
2026-06-23T17:27:46.674,9,,PULLING,5.044162,-11.244658,5.064845,nan,20.0,20.0,20.0,-59.18,43.04,12.271997,0.0,1.0,1.0,1.0
2026-06-23T17:27:47.058,9,,PULLING,4.165185,-12.123636,5.064845,nan,20.0,20.0,20.0,-69.94,43.04,13.036642,0.0,1.0,1.0,1.0
2026-06-23T17:27:47.314,9,,PULLING,3.621159,-12.667661,5.064845,nan,20.0,20.0,20.0,-59.18,45.73,13.556305,-13.45,1.0,1.0,1.0
2026-06-23T17:27:47.570,9,,PULLING,3.630452,-12.658368,5.064845,nan,20.0,20.0,20.0,-59.18,45.73,14.063795,-5.38,1.0,1.0,1.0
2026-06-23T17:27:47.954,9,peak,PULLING,3.419806,-12.869014,5.064845,5.064845,20.0,20.0,20.0,-48.42,48.42,14.836711,2.69,1.0,1.0,1.0
2026-06-23T17:27:47.954,9,,PULLING,3.419806,-12.869014,5.064845,5.064845,20.0,20.0,20.0,-48.42,48.42,14.836711,2.69,1.0,1.0,1.0
2026-06-23T17:27:48.210,9,,PULLING,3.170358,-13.118462,5.064845,5.064845,20.0,20.0,20.0,-59.18,45.73,15.354618,-10.76,1.0,1.0,1.0
2026-06-23T17:27:48.466,9,,PULLING,3.311889,-12.976931,5.064845,5.064845,20.0,20.0,20.0,-53.8,45.73,15.857221,-13.45,1.0,1.0,1.0
2026-06-23T17:27:48.850,9,,PULLING,3.549228,-12.739592,5.064845,5.064845,20.0,20.0,20.0,-72.63,45.73,16.619701,0.0,1.0,1.0,1.0
2026-06-23T17:27:49.106,9,,PULLING,3.807705,-12.481115,5.064845,5.064845,20.0,20.0,20.0,-53.8,59.18,17.140166,-18.83,1.0,1.0,1.0
2026-06-23T17:27:49.362,9,,PULLING,4.146781,-12.142039,5.064845,5.064845,20.0,20.0,20.0,-61.87,56.49,17.648079,-29.59,1.0,1.0,1.0
2026-06-23T17:27:49.746,9,,PULLING,5.172786,-11.116034,5.172786,5.064845,20.0,20.0,20.0,-67.25,72.63,18.42316,-5.38,1.0,1.0,1.0
2026-06-23T17:27:50.002,9,,PULLING,5.45665,-10.83217,5.45665,5.064845,20.0,20.0,20.0,-115.67,83.39,18.932121,-16.14,1.0,1.0,1.0
2026-06-23T17:27:50.258,9,,PULLING,5.402441,-10.886379,5.45665,5.064845,20.0,20.0,20.0,-104.91,75.32,19.439863,-5.38,1.0,1.0,1.0
2026-06-23T17:27:50.642,9,,PULLING,4.961465,-11.327355,5.45665,5.064845,20.0,20.0,20.0,-107.6,86.08,20.21876,0.0,1.0,1.0,1.0
2026-06-23T17:27:50.897,9,,PULLING,4.510544,-11.778276,5.45665,5.064845,20.0,20.0,20.0,-96.84,83.39,20.724874,-13.45,1.0,1.0,1.0
2026-06-23T17:27:51.154,9,,PULLING,4.504836,-11.783984,5.45665,5.064845,20.0,20.0,20.0,-112.98,83.39,21.231588,-10.76,1.0,1.0,1.0
2026-06-23T17:27:51.538,9,,PULLING,4.598836,-11.689984,5.45665,5.064845,20.0,20.0,20.0,-110.29,86.08,22.003605,-8.07,1.0,1.0,1.0
2026-06-23T17:27:51.793,9,,PULLING,4.84423,-11.44459,5.45665,5.064845,20.0,20.0,20.0,-112.98,80.7,22.516096,-10.76,1.0,1.0,1.0
2026-06-23T17:27:52.049,9,,PULLING,5.143494,-11.145326,5.45665,5.064845,20.0,20.0,20.0,-112.98,83.39,23.024662,-10.76,1.0,1.0,1.0
2026-06-23T17:27:52.433,9,,PULLING,4.905838,-11.382982,5.45665,5.064845,20.0,20.0,20.0,-110.29,88.77,23.79133,2.69,1.0,1.0,1.0
