timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-27T17:44:58.871,10,pull_start,GRIPPED,1.307022,-7.517602,0.0,nan,15.0,15.0,15.0,-37.66,80.7,0.277985,0.0,0.789,0.165,0.072
2026-06-27T17:44:59.138,10,,PULLING,0.826346,-7.998279,0.826346,nan,15.0,15.0,15.0,-34.97,83.39,0.78247,5.38,0.789,0.165,0.072
2026-06-27T17:44:59.538,10,,PULLING,1.277924,-7.546701,1.277924,nan,15.0,15.0,15.0,-37.66,83.39,1.590436,24.21,0.789,0.165,0.072
2026-06-27T17:44:59.794,10,,PULLING,2.450362,-6.374263,2.450362,nan,15.0,15.0,15.0,-37.66,80.7,2.108745,8.07,0.789,0.165,0.072
2026-06-27T17:45:00.066,10,,PULLING,3.071003,-5.753622,3.071003,nan,15.0,15.0,15.0,-37.66,83.39,2.635856,10.76,0.789,0.165,0.072
2026-06-27T17:45:00.546,10,,PULLING,3.20096,-5.623665,3.20096,nan,15.0,15.0,15.0,-37.66,83.39,3.601946,43.04,0.789,0.165,0.072
2026-06-27T17:45:00.802,10,,PULLING,3.286584,-5.538041,3.286584,nan,15.0,15.0,15.0,-37.66,99.53,4.127924,8.07,0.789,0.165,0.072
2026-06-27T17:45:01.058,10,,PULLING,3.394679,-5.429946,3.394679,nan,15.0,15.0,15.0,-37.66,102.22,4.629571,5.38,0.789,0.165,0.072
2026-06-27T17:45:01.458,10,,PULLING,4.747518,-4.077107,4.747518,nan,15.0,15.0,15.0,-37.66,102.22,5.442902,29.59,0.789,0.165,0.072
2026-06-27T17:45:01.714,10,,PULLING,6.204485,-2.62014,6.204485,nan,15.0,15.0,15.0,-37.66,102.22,5.947125,0.0,0.789,0.165,0.072
2026-06-27T17:45:01.970,10,,PULLING,7.406735,-1.417889,7.406735,nan,15.0,15.0,15.0,-37.66,102.22,6.453208,0.0,0.789,0.165,0.072
2026-06-27T17:45:02.386,10,,PULLING,8.549125,-0.2755,8.549125,nan,15.0,15.0,15.0,-37.66,102.22,7.272115,10.76,0.789,0.165,0.072
2026-06-27T17:45:02.642,10,,PULLING,9.099347,0.274722,9.099347,nan,15.0,15.0,15.0,-37.66,102.22,7.801725,0.0,0.789,0.165,0.072
2026-06-27T17:45:02.898,10,,PULLING,11.09711,2.272486,11.09711,nan,15.0,15.0,15.0,-37.66,102.22,8.309533,0.0,0.789,0.165,0.072
