timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-27T18:08:21.301,16,pull_start,GRIPPED,0.273314,-8.551311,0.0,nan,15.0,15.0,15.0,-13.45,45.73,0.016727,0.0,0.072,0.072,0.072
2026-06-27T18:08:21.556,16,,PULLING,0.253606,-8.571019,0.253606,nan,15.0,15.0,15.0,-24.21,45.73,0.501486,8.07,0.072,0.072,0.072
2026-06-27T18:08:21.972,16,,PULLING,0.796199,-8.028426,0.796199,nan,15.0,15.0,15.0,-24.21,43.04,1.320378,32.28,0.072,0.072,0.072
2026-06-27T18:08:22.228,16,,PULLING,0.575202,-8.249423,0.796199,nan,15.0,15.0,15.0,-18.83,45.73,1.83923,24.21,0.072,0.072,0.072
2026-06-27T18:08:22.484,16,,PULLING,0.858858,-7.965767,0.858858,nan,15.0,15.0,15.0,-26.9,45.73,2.352858,8.07,0.072,0.072,0.072
2026-06-27T18:08:22.884,16,,PULLING,1.646472,-7.178152,1.646472,nan,15.0,15.0,15.0,-21.52,48.42,3.168114,34.97,0.072,0.072,0.072
2026-06-27T18:08:23.140,16,,PULLING,1.537533,-7.287091,1.646472,nan,15.0,15.0,15.0,-16.14,45.73,3.669236,8.07,0.072,0.072,0.072
2026-06-27T18:08:23.396,16,,PULLING,1.694674,-7.129951,1.694674,nan,15.0,15.0,15.0,-21.52,45.73,4.17592,8.07,0.072,0.072,0.072
2026-06-27T18:08:23.812,16,,PULLING,3.148852,-5.675773,3.148852,nan,15.0,15.0,15.0,-16.14,45.73,5.006777,32.28,0.072,0.072,0.072
2026-06-27T18:08:24.068,16,,PULLING,3.33687,-5.487754,3.33687,nan,15.0,15.0,15.0,-21.52,45.73,5.524527,10.76,0.072,0.072,0.072
2026-06-27T18:08:24.324,16,,PULLING,3.733371,-5.091254,3.733371,nan,15.0,15.0,15.0,-26.9,51.11,6.031799,8.07,0.072,0.072,0.072
2026-06-27T18:08:24.724,16,,PULLING,3.841008,-4.983617,3.841008,nan,15.0,15.0,15.0,-18.83,45.73,6.836075,24.21,0.072,0.072,0.072
2026-06-27T18:08:24.980,16,,PULLING,4.788574,-4.036051,4.788574,nan,15.0,15.0,15.0,-21.52,45.73,7.349064,2.69,0.072,0.072,0.072
2026-06-27T18:08:25.237,16,,PULLING,6.403818,-2.420806,6.403818,nan,15.0,15.0,15.0,-21.52,45.73,7.855966,0.0,0.072,0.072,0.072
2026-06-27T18:08:25.636,16,,PULLING,7.626272,-1.198353,7.626272,nan,15.0,15.0,15.0,-16.14,45.73,8.660159,8.07,0.072,0.072,0.072
2026-06-27T18:08:25.892,16,,PULLING,8.757239,-0.067386,8.757239,nan,15.0,15.0,15.0,-32.28,48.42,9.172783,0.0,0.072,0.072,0.072
