timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-27T17:42:09.692,7,pull_start,GRIPPED,0.30937,-8.515255,0.0,nan,15.0,15.0,15.0,-37.66,83.39,0.328956,0.0,0.789,0.165,0.072
2026-06-27T17:42:09.948,7,,PULLING,0.881485,-7.94314,0.881485,nan,15.0,15.0,15.0,-37.66,83.39,0.805633,18.83,0.789,0.165,0.072
2026-06-27T17:42:10.332,7,,PULLING,0.652115,-8.17251,0.881485,nan,15.0,15.0,15.0,-37.66,83.39,1.585826,37.66,0.789,0.165,0.072
2026-06-27T17:42:10.587,7,,PULLING,1.521266,-7.303359,1.521266,nan,15.0,15.0,15.0,-34.97,83.39,2.089789,10.76,0.789,0.165,0.072
2026-06-27T17:42:10.843,7,,PULLING,2.011596,-6.813028,2.011596,nan,15.0,15.0,15.0,-34.97,83.39,2.596498,13.45,0.789,0.165,0.072
2026-06-27T17:42:11.244,7,,PULLING,2.419416,-6.405208,2.419416,nan,15.0,15.0,15.0,-40.35,83.39,3.388725,26.9,0.789,0.165,0.072
2026-06-27T17:42:11.499,7,,PULLING,2.443021,-6.381604,2.443021,nan,15.0,15.0,15.0,-37.66,83.39,3.912872,18.83,0.789,0.165,0.072
2026-06-27T17:42:11.755,7,,PULLING,2.705038,-6.119587,2.705038,nan,15.0,15.0,15.0,-34.97,104.91,4.420401,8.07,0.789,0.165,0.072
2026-06-27T17:42:12.187,7,,PULLING,3.627359,-5.197266,3.627359,nan,15.0,15.0,15.0,-40.35,104.91,5.278705,32.28,0.789,0.165,0.072
2026-06-27T17:42:12.443,7,,PULLING,4.157055,-4.667569,4.157055,nan,15.0,15.0,15.0,-37.66,104.91,5.801221,8.07,0.789,0.165,0.072
2026-06-27T17:42:12.699,7,,PULLING,5.065477,-3.759148,5.065477,nan,15.0,15.0,15.0,-34.97,104.91,6.308251,10.76,0.789,0.165,0.072
2026-06-27T17:42:13.099,7,,PULLING,7.307395,-1.51723,7.307395,nan,15.0,15.0,15.0,-37.66,104.91,7.101069,13.45,0.789,0.165,0.072
2026-06-27T17:42:13.355,7,,PULLING,9.257109,0.432484,9.257109,nan,15.0,15.0,15.0,-37.66,104.91,7.624271,0.0,0.789,0.165,0.072
2026-06-27T17:42:13.611,7,,PULLING,9.971719,1.147094,9.971719,nan,15.0,15.0,15.0,-37.66,104.91,8.132003,0.0,0.789,0.165,0.072
2026-06-27T17:42:14.011,7,,PULLING,11.884755,3.06013,11.884755,nan,15.0,15.0,15.0,-37.66,104.91,8.932164,5.38,0.789,0.165,0.072
2026-06-27T17:42:14.267,7,,PULLING,11.355703,2.531079,11.884755,nan,15.0,15.0,15.0,-37.66,104.91,9.44855,-8.07,0.789,0.165,0.072
2026-06-27T17:42:14.523,7,,PULLING,10.934383,2.109758,11.884755,nan,15.0,15.0,15.0,-34.97,102.22,9.955926,0.0,0.789,0.165,0.072
2026-06-27T17:42:14.923,7,,PULLING,13.1348,4.310175,13.1348,nan,15.0,15.0,15.0,-37.66,104.91,10.755631,0.0,0.789,0.165,0.072
2026-06-27T17:42:15.179,7,,PULLING,14.197022,5.372397,14.197022,nan,15.0,15.0,15.0,-34.97,102.22,11.273324,-5.38,0.789,0.165,0.072
2026-06-27T17:42:15.435,7,,PULLING,13.444683,4.620059,14.197022,nan,15.0,15.0,15.0,-37.66,102.22,11.780246,-5.38,0.789,0.165,0.072
2026-06-27T17:42:15.835,7,,PULLING,12.251045,3.42642,14.197022,nan,15.0,15.0,15.0,-37.66,104.91,12.572663,-2.69,0.789,0.165,0.072
2026-06-27T17:42:16.091,7,,PULLING,10.336091,1.511466,14.197022,nan,15.0,15.0,15.0,-37.66,104.91,13.097602,0.0,0.789,0.165,0.072
2026-06-27T17:42:16.347,7,,PULLING,11.283531,2.458906,14.197022,nan,15.0,15.0,15.0,-37.66,104.91,13.603948,0.0,0.789,0.165,0.072
2026-06-27T17:42:16.731,7,,PULLING,12.84758,4.022956,14.197022,nan,15.0,15.0,15.0,-40.35,104.91,14.386559,8.07,0.789,0.165,0.072
2026-06-27T17:42:16.987,7,peak,PULLING,9.425863,0.601239,14.197022,14.197022,15.0,15.0,15.0,-37.66,102.22,14.888553,0.0,0.789,0.165,0.072
2026-06-27T17:42:16.987,7,,PULLING,9.425863,0.601239,14.197022,14.197022,15.0,15.0,15.0,-37.66,102.22,14.888553,0.0,0.789,0.165,0.072
2026-06-27T17:42:17.243,7,,PULLING,11.157921,2.333297,14.197022,14.197022,15.0,15.0,15.0,-37.66,107.6,15.399581,-2.69,0.789,0.165,0.072
2026-06-27T17:42:17.643,7,,PULLING,12.441204,3.616579,14.197022,14.197022,15.0,15.0,15.0,-37.66,104.91,16.190676,2.69,0.789,0.165,0.072
2026-06-27T17:42:17.899,7,,PULLING,8.116698,-0.707926,14.197022,14.197022,15.0,15.0,15.0,-40.35,104.91,16.712309,-8.07,0.789,0.165,0.072
2026-06-27T17:42:18.155,7,,PULLING,6.473891,-2.350733,14.197022,14.197022,15.0,15.0,15.0,-37.66,104.91,17.219696,0.0,0.789,0.165,0.072
2026-06-27T17:42:18.555,7,,PULLING,11.088283,2.263659,11.088283,14.197022,15.0,15.0,15.0,-37.66,104.91,18.021178,10.76,0.789,0.165,0.072
2026-06-27T17:42:18.811,7,,PULLING,11.987335,3.162711,11.987335,14.197022,15.0,15.0,15.0,-37.66,104.91,18.536225,-8.07,0.789,0.165,0.072
2026-06-27T17:42:19.067,7,,PULLING,8.781591,-0.043034,11.987335,14.197022,15.0,15.0,15.0,-37.66,102.22,19.043608,0.0,0.789,0.165,0.072
2026-06-27T17:42:19.483,7,peak,PULLING,6.340851,-2.483774,11.987335,14.197022,15.0,15.0,15.0,-37.66,102.22,19.86324,10.76,0.789,0.165,0.072
2026-06-27T17:42:19.483,7,,PULLING,6.340851,-2.483774,11.987335,14.197022,15.0,15.0,15.0,-37.66,102.22,19.86324,10.76,0.789,0.165,0.072
2026-06-27T17:42:19.739,7,,PULLING,9.358139,0.533514,11.987335,14.197022,15.0,15.0,15.0,-37.66,104.91,20.392613,-2.69,0.789,0.165,0.072
2026-06-27T17:42:19.995,7,,PULLING,8.574812,-0.249812,11.987335,14.197022,15.0,15.0,15.0,-37.66,104.91,20.899654,-5.38,0.789,0.165,0.072
2026-06-27T17:42:20.427,7,,PULLING,8.589935,-0.23469,11.987335,14.197022,15.0,15.0,15.0,-37.66,102.22,21.773915,13.45,0.789,0.165,0.072
2026-06-27T17:42:20.683,7,,PULLING,8.023783,-0.800842,11.987335,14.197022,15.0,15.0,15.0,-37.66,102.22,22.280526,0.0,0.789,0.165,0.072
2026-06-27T17:42:20.939,7,,PULLING,7.524231,-1.300393,11.987335,14.197022,15.0,15.0,15.0,-37.66,110.29,22.78764,0.0,0.789,0.165,0.072
2026-06-27T17:42:21.339,7,,PULLING,8.441974,-0.382651,11.987335,14.197022,15.0,15.0,15.0,-37.66,104.91,23.575955,13.45,0.789,0.165,0.072
2026-06-27T17:42:21.595,7,,PULLING,9.06194,0.237316,11.987335,14.197022,15.0,15.0,15.0,-48.42,104.91,24.104843,0.0,0.789,0.165,0.072
