timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-27T18:03:28.871,12,pull_start,GRIPPED,0.741525,-8.083099,0.0,nan,15.0,15.0,15.0,-18.83,72.63,0.065215,0.0,0.072,0.072,0.072
2026-06-27T18:03:29.124,12,,PULLING,1.128121,-7.696503,1.128121,nan,15.0,15.0,15.0,-32.28,72.63,0.562185,10.76,0.072,0.072,0.072
2026-06-27T18:03:29.380,12,,PULLING,0.330064,-8.494561,1.128121,nan,15.0,15.0,15.0,-21.52,72.63,1.064436,5.38,0.072,0.072,0.072
2026-06-27T18:03:29.780,12,,PULLING,1.303959,-7.520666,1.303959,nan,15.0,15.0,15.0,-24.21,72.63,1.866471,29.59,0.072,0.072,0.072
2026-06-27T18:03:30.036,12,,PULLING,1.441613,-7.383012,1.441613,nan,15.0,15.0,15.0,-24.21,72.63,2.38133,10.76,0.072,0.072,0.072
2026-06-27T18:03:30.292,12,,PULLING,1.079978,-7.744647,1.441613,nan,15.0,15.0,15.0,-21.52,72.63,2.888167,18.83,0.072,0.072,0.072
2026-06-27T18:03:30.692,12,,PULLING,1.964748,-6.859877,1.964748,nan,15.0,15.0,15.0,-29.59,72.63,3.702523,21.52,0.072,0.072,0.072
2026-06-27T18:03:30.948,12,,PULLING,2.826066,-5.998559,2.826066,nan,15.0,15.0,15.0,-24.21,72.63,4.204585,2.69,0.072,0.072,0.072
2026-06-27T18:03:31.204,12,,PULLING,2.360679,-6.463945,2.826066,nan,15.0,15.0,15.0,-26.9,72.63,4.712322,13.45,0.072,0.072,0.072
2026-06-27T18:03:31.604,12,,PULLING,3.388525,-5.4361,3.388525,nan,15.0,15.0,15.0,-24.21,72.63,5.515666,29.59,0.072,0.072,0.072
2026-06-27T18:03:31.860,12,,PULLING,4.401889,-4.422736,4.401889,nan,15.0,15.0,15.0,-18.83,72.63,6.029778,8.07,0.072,0.072,0.072
2026-06-27T18:03:32.116,12,,PULLING,4.665328,-4.159296,4.665328,nan,15.0,15.0,15.0,-24.21,72.63,6.535952,0.0,0.072,0.072,0.072
2026-06-27T18:03:32.564,12,,PULLING,5.937179,-2.887446,5.937179,nan,15.0,15.0,15.0,-21.52,72.63,7.426506,24.21,0.072,0.072,0.072
2026-06-27T18:03:32.820,12,,PULLING,7.354773,-1.469852,7.354773,nan,15.0,15.0,15.0,-18.83,72.63,7.94884,0.0,0.072,0.072,0.072
2026-06-27T18:03:33.076,12,,PULLING,7.681521,-1.143103,7.681521,nan,15.0,15.0,15.0,-24.21,72.63,8.455966,0.0,0.072,0.072,0.072
2026-06-27T18:03:33.492,12,,PULLING,9.189934,0.365309,9.189934,nan,15.0,15.0,15.0,-34.97,72.63,9.276809,10.76,0.072,0.072,0.072
2026-06-27T18:03:33.748,12,,PULLING,10.438601,1.613976,10.438601,nan,15.0,15.0,15.0,-32.28,72.63,9.804185,0.0,0.072,0.072,0.072
2026-06-27T18:03:34.004,12,,PULLING,11.070939,2.246314,11.070939,nan,15.0,15.0,15.0,-29.59,72.63,10.311829,-2.69,0.072,0.072,0.072
2026-06-27T18:03:34.404,12,,PULLING,11.554008,2.729384,11.554008,nan,15.0,15.0,15.0,-34.97,72.63,11.110957,5.38,0.072,0.072,0.072
2026-06-27T18:03:34.660,12,,PULLING,12.859942,4.035318,12.859942,nan,15.0,15.0,15.0,-32.28,72.63,11.628965,-5.38,0.072,0.072,0.072
2026-06-27T18:03:34.916,12,,PULLING,11.914767,3.090142,12.859942,nan,15.0,15.0,15.0,-34.97,72.63,12.135708,-2.69,0.072,0.072,0.072
2026-06-27T18:03:35.316,12,,PULLING,12.604834,3.78021,12.859942,nan,15.0,15.0,15.0,-34.97,72.63,12.943595,0.0,0.072,0.072,0.072
2026-06-27T18:03:35.572,12,,PULLING,13.87684,5.052216,13.87684,nan,15.0,15.0,15.0,-34.97,72.63,13.452038,-2.69,0.072,0.072,0.072
2026-06-27T18:03:35.828,12,,PULLING,14.939389,6.114764,14.939389,nan,15.0,15.0,15.0,-37.66,72.63,13.959644,-10.76,0.072,0.072,0.072
2026-06-27T18:03:36.228,12,,PULLING,12.982877,4.158252,14.939389,nan,15.0,15.0,15.0,-34.97,72.63,14.754456,0.0,0.072,0.072,0.072
2026-06-27T18:03:36.484,12,,PULLING,15.377513,6.552888,15.377513,nan,15.0,15.0,15.0,-34.97,72.63,15.276712,-8.07,0.072,0.072,0.072
2026-06-27T18:03:36.740,12,,PULLING,13.618091,4.793466,15.377513,nan,15.0,15.0,15.0,-32.28,72.63,15.783354,-8.07,0.072,0.072,0.072
2026-06-27T18:03:37.140,12,,PULLING,12.658641,3.834017,15.377513,nan,15.0,15.0,15.0,-34.97,72.63,16.584828,0.0,0.072,0.072,0.072
2026-06-27T18:03:37.396,12,,PULLING,12.778617,3.953992,15.377513,nan,15.0,15.0,15.0,-34.97,72.63,17.100831,-8.07,0.072,0.072,0.072
2026-06-27T18:03:37.652,12,,PULLING,14.436935,5.612311,15.377513,nan,15.0,15.0,15.0,-37.66,72.63,17.607305,-13.45,0.072,0.072,0.072
2026-06-27T18:03:38.052,12,,PULLING,12.766359,3.941734,15.377513,nan,15.0,15.0,15.0,-37.66,72.63,18.419641,0.0,0.072,0.072,0.072
2026-06-27T18:03:38.308,12,peak,PULLING,7.377775,-1.44685,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,18.923603,0.0,0.072,0.072,0.072
2026-06-27T18:03:38.308,12,,PULLING,7.377775,-1.44685,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,18.923603,0.0,0.072,0.072,0.072
2026-06-27T18:03:38.564,12,,PULLING,7.105515,-1.719109,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,19.433634,0.0,0.072,0.072,0.072
2026-06-27T18:03:38.980,12,,PULLING,9.060757,0.236133,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,20.256922,8.07,0.072,0.072,0.072
2026-06-27T18:03:39.236,12,,PULLING,5.644459,-3.180165,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,20.779945,0.0,0.072,0.072,0.072
2026-06-27T18:03:39.492,12,,PULLING,8.389056,-0.435569,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,21.287097,0.0,0.072,0.072,0.072
2026-06-27T18:03:39.892,12,,PULLING,7.023419,-1.801206,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,22.095645,10.76,0.072,0.072,0.072
2026-06-27T18:03:40.148,12,,PULLING,6.221621,-2.603004,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,22.603364,0.0,0.072,0.072,0.072
2026-06-27T18:03:40.404,12,,PULLING,7.711896,-1.112728,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,23.111004,0.0,0.072,0.072,0.072
2026-06-27T18:03:40.804,12,,PULLING,8.198724,-0.625901,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,23.914507,8.07,0.072,0.072,0.072
2026-06-27T18:03:41.060,12,,PULLING,8.734002,-0.090623,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,24.427525,0.0,0.072,0.072,0.072
2026-06-27T18:03:41.316,12,,PULLING,8.132242,-0.692382,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,24.934837,-2.69,0.072,0.072,0.072
2026-06-27T18:03:41.748,12,,PULLING,6.07128,-2.753344,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,25.807654,16.14,0.072,0.072,0.072
2026-06-27T18:03:42.004,12,,PULLING,6.833801,-1.990824,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,26.315253,0.0,0.072,0.072,0.072
2026-06-27T18:03:42.260,12,,PULLING,8.851132,0.026507,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,26.822942,0.0,0.072,0.072,0.072
2026-06-27T18:03:42.660,12,,PULLING,7.963025,-0.8616,15.377513,15.377513,15.0,15.0,15.0,-37.66,72.63,27.62599,10.76,0.072,0.072,0.072
